p,d,q,aic,bic
0,1,2,-258.6446419670548,-240.92831701987393
2,1,2,-258.1992551826761,-228.67204693737466
3,1,0,-257.0381337101288,-233.41636711388767
0,1,3,-256.74789152983396,-233.1276001318393
3,1,1,-255.95741109368123,-226.4302028483798
1,1,3,-255.8279844992041,-226.30262025171078
1,1,2,-255.39389975575006,-231.7721331595089
2,1,1,-253.58088721669782,-229.9576459660621
0,1,1,-253.05637562620768,-241.24475500088982
1,1,1,-252.85420073127835,-235.13676979330157
3,1,2,-252.23875016081723,-216.80610026645553
2,1,0,-252.0318366070412,-234.31440566906443
1,1,0,-250.77934604887662,-238.966988368087
0,1,0,-249.4987425020917,-243.5925636616969
2,1,3,-247.89195771456684,-212.46152061757485
3,1,3,-246.6599251703102,-205.32441522381953
